Number,Word,Definition
1,abate,lessen
2,aberration,"deviation, not normal"
3,"abhor, abhorrence",hatred
4,abstruse,difficult to understand
5,accost,confront
6,acrimony,bitter animosity
7,acumen,insightfulness
8,adamant,not yielding
9,adept,skillful
10,adroit,skillful
11,affected,haughty
12,alacrity,eagerness
13,allocate,"assign, portion"
14,"altruistic, altruism",generous
15,amenable,yielding
16,amiable,friendly
17,amicable,friendly
18,antediluvian,very old
19,anthropology,study of human beings
20,antipathy,dislike
21,"apathetic, apathy",lacking interest
22,apt,"appropriate, inclined"
23,arcane,"mysterious, known only by a few"
24,ascendancy,"influence, domination"
25,"ascetic, asceticism",one who practices self-denial as a spiritual discipline
26,aspire,strive for
27,assail,belittle
28,assiduous,diligent
29,assuage,"relieve, appease"
30,atrophy,waste away
31,attenuate,"weaken, reduce"
32,august,dignified
33,aura,"air, feeling"
34,auspicious,favorable
35,"autocrat, autocratic","dictator, dictatorial"
36,automaton,a person who acts like a robot
37,avarice,greed
38,banal,common
39,barrage,"bombardment, torrent"
40,belie,give a false impression
41,belligerent,"aggressive, warlike"
42,benevolent,generous
43,bequeath,hand down (through a will)
44,berate,scold harshly
45,bipartisanship,supported by two opposing groups (political parties)
46,blighted,destroyed
47,bog,"marsh, swamp"
48,bolster,support
49,bombastic,pompous
50,"boorish, boorishness",crude
51,buoyant,"cheerful, floating"
52,burgeon,"grow, flourish"
53,buttress,support
54,byzantine,"convoluted, complex"
55,"cacophonous, cacophony",discordant sound
56,cajole,coax
57,callous,insensitive
58,cantankerous(ness),irritable
59,capricious,fickle
60,castigate,belittle
61,caustic,bitter
62,censorious,harshly critical
63,censure,scold
64,cerebral,intellectual
65,chagrin,mortification
66,charlatan,swindler
67,chastise,belittle
68,chide,belittle
69,churlish,"vulgar, boorish"
70,circuitous,indirect
71,circumscribe,restrict
72,circumvent,"escape, avoid"
73,clandestine,secretive
74,coalesce,"blend, fuse"
75,compendious,succinct
76,"complacency, complacent","self-satisfaction, smugness"
77,"compliant, compliance",yielding
78,"conciliate, conciliatory","compromising, apologizing"
79,concur,agree
80,conflagration,large destructive fire
81,confluence,a place where things merge or flow together
82,congenial,pleasant
83,conscientious,careful
84,consternation,dismay
85,contempt(uous),disdainful
86,contemptible,despicable
87,contentious,"belligerent, quarrelsome"
88,convivial,"sociable, lively"
89,copious,abundant
90,corroborate,strengthen or support with additional evidence
91,cosmopolitan,"sophisticated, urbane"
92,"credulity, credulous",the trait of trusting others too much
93,culpable,blameworthy
94,cursory,"hasty, superficial"
95,dauntless,courageous
96,dearth,scarcity
97,debacle,failure
98,debilitate(d),weaken(ed)
99,debunk,prove wrong
100,decimate,destroy
101,"decorum, decorous","order, politeness"
102,"deference, deferential","respectful submission, yielding"
103,degradation,humiliation
104,deleterious,harmful
105,delineate,"list, explain"
106,demonstrative,openly emotional
107,"demure, demurral",overly modest
108,demystify,make clear and comprehensible
109,denigrate,belittle
110,depose,"dethrone, remove from power"
111,depravity,moral corruption
112,deprecate,"disapprove, belittle"
113,"depreciation, depreciatory",decrease in value
114,deride,make fun of
115,derivative,not original
116,"derogatory, derogate","disparaging, belittling"
117,desecration,violate the sacredness of
118,despondent,"sad, depressed"
119,despot,dictator
120,destitute,poor
121,deterrent,"hindrance, impediment"
122,devoid,lacking
123,didactic,(often excessively) morally instructive
124,"diffident, diffidence",shy
125,diffuse,spread out
126,digress(ion),stray from the subject at hand
127,dilatory,tending to waste time
128,"diminutive, diminution",extremely small
129,dire,"urgent, dreadful"
130,"discern, discerning","perceive, perceptive"
131,discomfited,"disappointed, defeated"
132,discount (verb),disregard
133,disheartening,discouraging
134,disillusionment,"disenchantment, disappointment"
135,disingenuous,insincere
136,disparage,belittle
137,dispassionate,unemotional
138,dispel,to drive away or disprove
139,disputatious,quarrelsome
140,disquiet(ing),(causing) anxiety
141,disseminate,scatter widely
142,distaste,"dislike, aversion"
143,divergent,"different, conflicting"
144,divisive,creating conflict
145,divulge,make known
146,doctrine,"religious, political, or philosophical principles or teachings"
147,dogmatic,tending to force one's own opinions on other people
148,dormant,inactive
149,dupe,deceive
150,"duplicitous, duplicity",deliberately deceptive
151,ebullient,enthusiastic
152,eclectic,from diverse sources
153,efface(ment),erase
154,effervesce,"bubble, fizz"
155,egalitarian,belief in equality
156,"elated, elation",joyful
157,elicit,bring about
158,elucidate,clarify
159,elude,evade
160,elusive,difficulty to catch or define
161,embitter(ed),make worse
162,embroil(ed),involve in an argument or conflict
163,"empathetic, empathy",compassionate
164,empiric(al),based on observation and experiment (not theory)
165,encompass,"include, surround"
166,encroaching,intrusive
